product;sourceService;targetService;protocol;port;description
VBR;Source backup repository;Target backup repository;TCP;2500 to 3300;Default range of ports used as transmission channels for backup copy jobs and copy backup operations. For every TCP connection that a job uses, one port from this range is assigned. If the backup copy job utilizes WAN accelerators, make sure that ports specific for WAN accelerators are opened. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Gateway server or backup proxy;NFS backup repository;TCP, UDP;111, 2049;Standard NFS ports. Port 111 is used by the port mapper service. Also used as a transmission channel from the gateway server to the target NFS backup repository if a gateway server is specified explicitly in NFS backup repository settings.
VBR;Gateway server or backup proxy;NFS backup repository (NFS v3);TCP, UDP;mountd_port;Dynamic port used for mountd service. Can be assigned statically.
VBR;Gateway server or backup proxy;NFS backup repository (NFS v3);TCP, UDP;statd_port;Dynamic port used for statd service. Can be assigned statically.
VBR;Gateway server or backup proxy;NFS backup repository (NFS v3);TCP, UDP;lockd_port;Dynamic port used for lockd service. Can be assigned statically.
VBR;Gateway server or backup proxy;SMB (CIFS) backup repository (Microsoft Windows);TCP;445;Used as a transmission channel from the gateway server to the target SMB (CIFS) backup repository if a gateway server is specified explicitly in SMB (CIFS) backup repository settings.
VBR;Backup server or gateway server;Dell Data Domain;TCP;111;Port used to assign a random port for the mountd service used by NFS and DDBOOST. Mountd service port can be statically assigned.
VBR;Backup server or gateway server;Dell Data Domain;TCP;2049;Main port used by NFS. Can be modified using the ‘nfs set server-port’ command. Command requires SE mode.
VBR;Backup server or gateway server;Dell Data Domain;TCP;2052;Main port used by NFS MOUNTD. Can be modified using the 'nfs set mountd-port' command in SE mode.
VBR;Backup server;ExaGrid;TCP;22;Default command port used for communication with ExaGrid.
VBR;Backup proxy;ExaGrid;TCP;2500 to 3300;Default range of ports used for communication with the backup proxy. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server or gateway server;HPE StoreOnce;TCP;9387;Default command port used for communication with HPE StoreOnce.
VBR;Backup server or gateway server;HPE StoreOnce;TCP;9388;Default data port used for communication with HPE StoreOnce.
VBR;Backup server;Quantum DXi;TCP;22;Default command port used for communication with Quantum DXi.
VBR;Backup proxy;Quantum DXi;TCP;2500 to 3300;Default range of ports used for communication with the backup proxy. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server;Fujitsu ETERNUS CS800;TCP;22;Default command port used for communication with Fujitsu ETERNUS CS800.
VBR;Backup proxy;Fujitsu ETERNUS CS800;TCP;2500 to 3300;Default range of ports used for communication with the backup proxy. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server;Infinidat InfiniGuard;TCP;22;Default command port used for communication with Infinidat InfiniGuard.
