product;sourceService;targetService;protocol;port;description
VBEM;Browser;Veeam Backup Enterprise Manager website (IIS extension);HTTP;9080;Default ports used to communicate with the website. Can be customized during Veeam Backup Enterprise Manager installation. For more information, see Specify Service Ports . When you work with Veeam Self-Service Backup Portal (accessed by the portal URL or from the native VMware Cloud Director environment) and vSphere Self-Service Backup Portal, your browser also communicates with the Veeam Backup Enterprise Manager website over this port.
VBEM;Browser;Veeam Backup Enterprise Manager website (IIS extension);HTTPS;9443;Default ports used to communicate with the website. Can be customized during Veeam Backup Enterprise Manager installation. For more information, see Specify Service Ports . When you work with Veeam Self-Service Backup Portal (accessed by the portal URL or from the native VMware Cloud Director environment) and vSphere Self-Service Backup Portal, your browser also communicates with the Veeam Backup Enterprise Manager website over this port.
VBEM;Browser;Veeam Cloud Connect Portal website (IIS extension);HTTPS;6443;Default ports used to communicate with the website. Can be customized during Veeam Backup Enterprise Manager installation. For more information, see Specify Service Ports.
VBEM;Veeam Backup Enterprise Manager REST API client and VMware vSphere Client plug-in;Veeam Backup Enterprise Manager REST API;HTTP;9399;Default ports used to communicate with Veeam Backup Enterprise Manager REST API. Can be customized during Veeam Backup Enterprise Manager installation. For more information, see Specify Service Ports.
VBEM;Veeam Backup Enterprise Manager REST API client and VMware vSphere Client plug-in;Veeam Backup Enterprise Manager REST API;HTTPS;9398;Default ports used to communicate with Veeam Backup Enterprise Manager REST API. Can be customized during Veeam Backup Enterprise Manager installation. For more information, see Specify Service Ports.
VBEM;Veeam ONE Server (optional);Veeam Backup Enterprise Manager server;TCP;Dynamically assigned ports;If you add the Veeam Backup Enterprise Manager server to the Veeam ONE monitoring scope, you must open ports required to gather data through WMI. For more information on enabling and disabling WMI traffic, see the Connecting to WMI Remotely with VBScript and Setting up a Remote WMI Connection articles of the Microsoft Windows Dev Center.
VBEM;Veeam Backup Enterprise Manager server;Mount server associated with backup repository;TCP;2500 to 6000;Ports used for file download.
VBEM;Veeam Backup Enterprise Manager server;Mount server (helper host or helper appliance);TCP;2500 to 6000;Ports used for file download. For more information on the mount server, see Preparing for File Search and Restore (non-Windows machines).
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;TCP, UDP;135, 445;Ports used to deploy the runtime coordination process on the target machine.
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;TCP;49152 to 65535 (for Microsoft Windows Server 2008 or later);Dynamic RPC range used by the runtime coordination process that is deployed on the target machine. For more information, see this Microsoft article.
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;TCP;6160;Port used to communicate with Veeam Installer Service.
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;TCP;1433, 1434;Ports used to communicate with the Microsoft SQL Server installed on the target machine during application-item restore. For more information, see this Microsoft article.
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;UDP;1434;Port used by the Microsoft SQL Server Browser service. For more information, see this Microsoft article.
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;TCP;1025 to 1034;Default RPC range for the Veeam SQL Restore Service runtime component installed on a target or staging Microsoft SQL Server machine to support restore. Each runtime component uses the next available port in the range, and only during application item restore. For more information on the Veeam SQL Restore Service runtime component, see the How Data Recovery Works section of the Veeam Explorers User Guide. You must manually open this port range in Microsoft Windows Firewall.
VBEM;Target machine with Microsoft SQL Server;Machine running mount service 1;TCP;3260 to 3270;Port range opened by Veeam Backup & Replication to manage iSCSI traffic during restore to the target machine. This port range is opened only during application item restore. For more information, see the How Mounting Works section of the Veeam Explorers User Guide.
VBEM;Target machine with Microsoft SQL Server;Backup repository;TCP;2500 to 3300;Port range used by the Veeam Agent persistent component deployed on the target or staging server. This port range is only used during transaction log restore. For more information on the components used during restore, see the How Data Recovery Works section of the Veeam Explorers User Guide.
VBEM;Target machine with Oracle;Machine running mount service 1;TCP;3260 to 3270;Ports used by Veeam Backup and Replication for iSCSI traffic. Ports are open only during the application item restore session.
VBEM;Machine running mount service 1;Target Windows machine with Oracle;TCP;49152 to 65535;Recommended dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft article.
VBEM;Machine running mount service 1;Target Windows machine with Oracle;TCP;1025 to 1034;Default range of ports for the runtime component installed on the target or staging Oracle server to support restore operations. Each runtime component uses the next available port in the range, and only during application item restore. You must manually open this port range in Microsoft Windows Firewall.
VBEM;Machine running mount service 1;Target Windows machine with Oracle;TCP;6160, 11731;Ports used by the Veeam Installer Service for connections to the target Windows machine with Oracle.
VBEM;Machine running mount service 1;Target Linux machine with Oracle;TCP;22;Default SSH port used as a control channel.
VBEM;Machine running mount service 1;Target Linux machine with Oracle;TCP;2500 to 5000;Default port range for data transmission.
VBR;Backup server;vCenter Server;TCP;443;Default port used for connections to vCenter Server. Note: The backup server should have a direct connection to vCenter Server. HTTP/HTTPS proxy servers are not supported. If you use VMware Cloud Director, make sure you open port 443 on underlying vCenter Servers.
VBR;Backup server;ESXi server;TCP;443;Default port used for connections to ESXi host. This port is not required for VMware Cloud on AWS.
VBR;Backup server;ESXi server;TCP;902;Port used for data transfer to ESXi host. It is also used during guest OS file recovery if you recover files from replicas. This port is not required for VMware Cloud on AWS.
VBR;Backup server;VMware Cloud Director;TCP;443;Default port used for connections to VMware Cloud Director. Note: The backup server should have a direct connection to VMware Cloud Director. HTTP/HTTPS proxy servers are not supported.
VBR;Backup server;PostgreSQL server hosting the Veeam Backup & Replication configuration database;TCP;5432;Port used for communication with PostgreSQL server on which the Veeam Backup & Replication configuration database is deployed.
VBR;Backup server;Microsoft SQL Server hosting the Veeam Backup & Replication configuration database;TCP;1433;Port used for communication with Microsoft SQL Server on which the Veeam Backup & Replication configuration database is deployed (if you use a Microsoft SQL Server default instance). Additional ports may need to be open depending on your configuration. For more information, see Microsoft Docs.
VBR;Backup server;DNS server with forward/reverse name resolution of all backup servers;UDP;53;Port used for communication with the DNS Server.
VBR;Backup server;Veeam Update Notification Server;TCP;443;Default port used to download information about available updates from the Veeam Update Notification Server over HTTPS. Veeam Update Notification Server endpoints: dev.veeam.com vbrad.butler.veeam.com vbrce.butler.veeam.com
